name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
Karu Central Apartment,Kesklinn,5,9.2,53,68,22.67,"Located in Tallinn in the Harjumaa region, with Kalarand and Estonian National Opera nearby, Karu Central Apartment offers accommodation with free private parking. This property is set a short distance from attractions such as Kadriorg Art Museum, Kadriorg Palace, and Alexander Nevsky Cathedral. The property is 1.6 km from Russalka Beach, and within 2.9 km of the city centre. With free WiFi, this 1-bedroom apartment provides a flat-screen TV, a washing machine and a fully equipped kitchen with a dishwasher and oven. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking. Popular points of interest near the apartment include Maiden Tower, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Karu Central Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/d2/5b/72/booking-7903154-325933199.jpg_k=a84658f4d0dbed8a80f9a94e42ab7732c9f65bbba83901a1a392ecca4a0952b1_o=-682106.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/5b/72/booking-7903154-325933184.jpg_k=0ba98cd20d16b44f17ec9ed91a565f84ec67529db12af30c0a18a03e01d1b5e3_o=-401813.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/5b/72/booking-7903154-325933197.jpg_k=5078427adf8e72616da13c157e0bb0fcc2517e8f4f22643539dc0fde9a711b04_o=-780712.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/5b/72/booking-7903154-325933191.jpg_k=a8432b0c48ab0a744ff80a9922ae617a709f83578a40e3504b39fce54016845b_o=-702315.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/5b/72/booking-7903154-325933187.jpg_k=69dc3e91e2724e66c5aa99aa241477361390c5069ce677e5cf308326ca699cf7_o=-864914.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Small Cozy two-level Apartments 9,Kesklinn,5,8.6,197,57,19,"In the Tallinn City-Centre district of Tallinn, close to Maiden Tower, Small Cozy two-level Apartments 9 has free WiFi and a washing machine. It is situated 2.2 km from Russalka Beach and features a 24-hour front desk. The property is 3.1 km from the city centre and 1 km from Kalarand. The 1-bedroom apartment features a living room with a flat-screen TV with cable channels, a fully equipped kitchen with a microwave and a fridge, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment. This apartment is non-smoking and soundproof. Popular points of interest near the apartment include Estonian National Opera, Niguliste Museum-Concert Hall and Tallinn Train Station. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Small Cozy two-level Apartments 9.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/97/c4/58/booking-5596262-354696538-812625.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/75/1d/9d/booking-2693524-181857919.jpg_k=723c1e4d1a85de31fadfc109e869cc1af2452c2d1c2570969044d922ceb8e45a_o=-475114.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/33/01/booking-5596262-354697945-526889.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/75/1d/9d/booking-2693524-113248214.jpg_k=1d2aae35330cf8f7b35403eb01f7500e6e9935b388732eaa29aa5d1b11d75ccc_o=-632428.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/84/d6/87/booking-5596262-354696459-755951.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Dream Stay - Historical 3-Bedroom Apartment with Sauna & Fireplace,Kesklinn,4,9,9,153,51,"1.6 km from Kalarand in the centre of Tallinn, Dream Stay - Historical 3-Bedroom Apartment with Sauna & Fireplace offers accommodation with free WiFi and access to a sauna. The property features garden views and is 200 metres from Tallinn Town Hall and 200 metres from Maiden Tower. The property is non-smoking and is set a few steps from Niguliste Museum-Concert Hall. The spacious apartment has 3 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment. There is also a seating area and a fireplace. Popular points of interest near the apartment include Estonian National Opera, Alexander Nevsky Cathedral and Toompea Castle. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Dream Stay - Historical 3-Bedroom Apartment with Sauna & Fireplace.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/ca/21/45/booking-8526480-382667749-370021.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1a/02/81/booking-8526480-382667655-198726.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6c/1b/48/booking-8526480-382667753-386328.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/21/4d/a2/booking-8526480-382667747-353845.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2f/c1/64/booking-8526480-382667736-270766.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Dream Stay - Superior Apartment in the Heart of Tallinn,Kesklinn,5,8.6,144,51,17,"Situated within less than 1 km of Kalarand and 2.2 km of Russalka Beach in the centre of Tallinn, Dream Stay - Superior Apartment in the Heart of Tallinn features accommodation with free WiFi and seating area. It is located 1.3 km from Tallinn Train Station and provides a lift. The property is close to popular attractions like Estonian National Opera, Port of Tallinn and Niguliste Museum-Concert Hall. The units come with parquet floors and feature a fully equipped kitchen with a dishwasher, a dining area, a flat-screen TV with streaming services, and a private bathroom with walk-in shower and slippers. An oven, a toaster and fridge are also offered, as well as a coffee machine and a kettle. At the apartment complex, units have bed linen and towels. Popular points of interest near the apartment include Lennusadam Seaplane Harbour, Maiden Tower and Town Hall Square. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Dream Stay - Superior Apartment in the Heart of Tallinn.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/5e/41/c9/booking-4948820-351153371-224511.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/fe/ab/booking-4948820-351153235-156926.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/10/8d/44/booking-4948820-351153031-624682.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/af/18/5e/booking-4948820-351153066-744390.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/c2/7f/booking-4948820-351153318-334810.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Loft Ilmarine,Põhja-Tallinn,4,9.2,10,65,21.67,"Offering city views, Loft Ilmarine is an accommodation located in Tallinn, less than 1 km from Town Hall Square and a 14-minute walk from Lennusadam Seaplane Harbour. It is set 600 metres from Tallinn Train Station and offers a lift. Free WiFi is available throughout the property and Kalarand is less than 1 km away. This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchenette with a dining area, and 1 bathroom with a walk-in shower and a washing machine. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance. Popular points of interest near the apartment include Alexander Nevsky Cathedral, Toompea Castle and Maiden Tower. The nearest airport is Lennart Meri Tallinn Airport, 6 km from Loft Ilmarine.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/ad/dd/55/booking-1070958862-518488876-590807.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f6/1f/cf/booking-1070958862-518488850-544204.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8e/7d/49/booking-1070958862-518488877-599948.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/36/79/9a/booking-1070958862-518488867-571768.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/01/a3/8c/booking-1070958862-518488881-618090.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Town Hall Square Apartment,Kesklinn,3,9.6,5,126,42,"In the Tallinn City-Centre district of Tallinn, close to Tallinn Town Hall, Town Hall Square Apartment features free WiFi and a washing machine. This apartment offers accommodation with a balcony. The property is 1.5 km from Kalarand, and within 2.8 km of the city centre. The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is featured. The accommodation is non-smoking. Popular points of interest near the apartment include Niguliste Museum-Concert Hall, Maiden Tower and Estonian National Opera. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Town Hall Square Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/df/87/c5/expedia_group-1071133069-253366908-837258.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/24/30/e3/expedia_group-1071133069-97936311-855175.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/21/ea/d2/expedia_group-1071133069-42100513-746587.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2c/2e/71/expedia_group-1071133069-153842305-926943.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e6/5a/73/expedia_group-1071133069-51939963-921063.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Vilmsi 44 cozy 85m2 apartment with sauna in Kadriorg,Kesklinn,4,9.5,6,62,20.67,"Boasting a sauna, Vilmsi 44 cozy apartment with sauna in Kadriorg is set in Tallinn. Complimentary WiFi is offered throughout the property and private parking is available on site. The property is 1.5 km from Russalka Beach, and within 2.4 km of the city centre. The spacious apartment has 1 bedroom, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a bath. Towels and bed linen are provided in the apartment. The accommodation offers a fireplace. Popular points of interest near the apartment include Kadriorg Art Museum, Kadriorg Palace and Tallinn International Bus Station. The nearest airport is Lennart Meri Tallinn Airport, 3 km from Vilmsi 44 cozy apartment with sauna in Kadriorg.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/1e/96/6b/booking-1070841045-520121460-503456.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/17/13/68/booking-1070841045-520125718-770490.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ef/64/fd/booking-1070841045-520122304-634513.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3f/ac/cf/booking-1070841045-520123208-643316.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/64/82/43/booking-1070841045-520126875-561803.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
"Lootsi apartment with sauna, next to Old Town, City Center, Port",Kesklinn,5,8.4,180,141,47,"Right in the heart of Tallinn, situated within a short distance of Russalka Beach and Kalarand, Lootsi apartment with sauna, next to Old Town, City Center, Port offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. It is located 1.9 km from Maiden Tower and features a lift. The property is non-smoking and is set 1.3 km from Estonian National Opera. The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with sea views. This apartment also includes a balcony that doubles up as an outdoor dining area. For added privacy, the accommodation features a private entrance. At the apartment, the family-friendly restaurant is open for dinner and lunch and specialises in Russian cuisine. Guests at Lootsi apartment with sauna, next to Old Town, City Center, Port will be able to enjoy activities in and around Tallinn, like skiing and cycling. Popular points of interest near the accommodation include Niguliste Museum-Concert Hall, Kadriorg Art Museum and Kadriorg Palace. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Lootsi apartment with sauna, next to Old Town, City Center, Port.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/89/5e/f9/booking-6374531-413969258-393654.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b2/63/d5/booking-4968292-231884999.jpg_k=25c5fecc69bf34c3cae0c4c3df595c036614c136f60bc225db7833191304e641_o=-435733.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b2/63/d5/booking-4968292-231884995.jpg_k=78fa1b969a8d5925bad28298c59d729f5bfada8cdc8128dd30412c7fa9f0b748_o=-990898.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b2/63/d5/booking-4968292-231885005.jpg_k=42abd14a0fda6b55af5ece6082beb2f7f1930a717fc77c7decc1415d3cd2c7e4_o=-199076.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/51/aa/b1/booking-6374531-413969295-424742.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Economy Hotel,"Kopli 2/c, 10412 Tallinn, Harjumaa",3,7.7,2085,59,19.67,"Comfortable hotel, a quick walk to Telliskivi Creative City Along with a restaurant, this smoke-free hotel has a bar/lounge and a snack bar/deli. WiFi in public areas is free. Other amenities include self parking, coffee/tea in a common area, and dry cleaning. Economy Hotel offers 40 accommodations. This Tallinn hotel provides complimentary wireless Internet access. Bathrooms include showers. Irons/ironing boards and hair dryers can be requested. Housekeeping is provided daily.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/56/19/94/expedia_group-158824-ed4954-456017.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/76/33/ba/expediav2-158824-091307-292969.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2e/64/d4/expediav2-158824-7a6533-504436.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f6/e7/d6/expedia_group-158824-89059188-466010.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a8/fa/f6/expedia_group-158824-dee7a9-415630.jpg?width=1020&height=1020&xhint=960&yhint=667&crop=true&watermarkheight=28&watermarkpadding=10']"
Lovely studio 5 min walk from Old Town and seaside,Kesklinn,3,9,41,65,21.67,"In the heart of Tallinn, set within a short distance of Kalarand and Estonian National Opera, Lovely studio 5 min walk from Old Town and seaside offers free WiFi, air conditioning and household amenities such as a stovetop and kettle. This property is located a short distance from attractions such as Niguliste Museum-Concert Hall, Town Hall Square, and Tallinn Town Hall. The accommodation offers a 24-hour front desk and a lift for guests. The apartment features 1 bedroom, a flat-screen TV with cable channels, a fully equipped kitchen with an oven and a fridge, a washing machine, and 1 bathroom with a bath. Towels and bed linen are featured in the apartment. The property has an outdoor dining area. Popular points of interest near the apartment include Tallinn Train Station, Lennusadam Seaplane Harbour and Maiden Tower. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Lovely studio 5 min walk from Old Town and seaside.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/65/a9/63/booking-7611088-312606293.jpg_k=58f243dc67defed6dba10e4d0ec62e23dbd667df71e4b975aa0175f5cf54d87d_o=-306674.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/65/a9/63/booking-7611088-312606348.jpg_k=fd641a9cb7b07301a80d0db6acbcdc93401920099ccb1a3c0c88e9cbfd5cf6d4_o=-324497.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/65/a9/63/booking-7611088-312606338.jpg_k=9cb42ed613c276aff71ea93aa3be829bfcf02fd4b36778c9c1b1e596e9c9f019_o=-046443.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/65/a9/63/booking-7611088-312606352.jpg_k=e9a3dee8c7e376f2069feaa4df29127046ae40439fba7f49e9e1abfa9d817212_o=-500390.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/65/a9/63/booking-7611088-312606350.jpg_k=280b7cc820bdca560f0fb0df967ffc9f69abb890aeb5898ec3cc54ed98426653_o=-182385.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
